Blog	close	ever	blog	without	list	part	nbsp	want	things	got	job	or	lot	words	before	only	has	original	face	i	including	couple	well	asked	was	name	take	book	week	each	top	around	be	u	special	any	off	stuff	content	times	else	deal	so	june	problem	point	ways	amazon	would	example	number	page	can	place	clear	looks	end	car	friends	started	if	create	use	does	gets	real	help	free	idea	may	social	her	told	ve	great	side	action	bad	while	going	available	much	than	were	show	sure	could	year	four	live	saying	probably	most	water	long	another	media	check	maybe	back	p	almost	kind	during	said	latest	possible	look	they	who	youtube	security	turn	over	building	big	when	least	but	google	took	case	go	behind	even	way	thing	used	other	been	keep	summer	month	two	especially	down	here	make	think	good	really	support	email	music	piece	night	put	system	ideas	its	gave	ceo	process	something	change	thought	anything	hours	just	buy	where	six	next	say	means	person	then	c	went	line	service	seen	should	my	last	later	across	him	by	design	find	business	being	once	reason	director	read	videos	thousands	health	enough	co	play	view	money	had	pretty	everyone	days	always	fact	since	internet	them	b	re	office	interesting	too	open	into	company	about	event	more	less	will	their	m	left	web	family	seems	light	government	our	three	thursday	best	set	site	state	own	morning	don	doesn	needs	website	president	isn	me	work	better	voice	post	made	takes	today	under	movie	new	feel	few	account	come	because	right	major	different	looking	community	everything	same	trump	she	how	we	self	some	one	actually	far	tell	comes	local	not	driving	man	stories	care	game	us	store	whether	know	issue	project	twitter	both	american	doing	all	entire	data	recently	world	photo	goes	first	donald	talk	many	might	people	features	app	facebook	easy	no	out	full	story	there	also	according	together	between	through	try	which	ago	half	having	why	very	recent	based	small	appeared	called	shows	bit	nothing	away	run	old	following	making	team	found	makes	every	someone	public	such	are	though	love	up	getting	working	get	start	power	like	your	market	com	future	wrote	ll	d	those	his	trying	video	won	never	writing	version	finally	using	he	reading	tv	do	years	months	did	believe	these	ask	air	second	home	already	says	group	see	pay	after	white	giving	past	house	hard	against	let	question	million	yet	watch	news	often	came	didn	running	become	important	have	tech	am	sense	an	life	little	again	now	what	day	e	until	stop	call	high	technology	need	give	still	john	time
	4	11	1	12	3	25	209	34	31	24	6	99	29	6	24	42	112	3	6	248	15	4	39	11	271	59	22	7	24	7	7	27	132	13	31	34	32	0	51	24	6	10	114	43	16	22	14	0	58	11	8	6	81	10	18	5	21	2	7	6	87	3	8	36	5	19	12	14	11	27	6	82	20	48	8	3	10	10	37	84	1	34	66	73	70	14	33	27	19	14	31	2	41	3	24	18	79	0	10	24	56	10	20	19	56	6	11	44	263	112	5	3	12	59	2	19	92	10	161	3	9	9	17	9	68	54	14	6	40	58	7	1	5	39	8	38	33	33	83	29	39	47	0	8	5	23	19	3	4	32	9	1	18	32	19	10	15	6	92	7	54	1	18	62	11	11	48	6	9	7	2	23	32	57	39	13	8	39	157	0	10	7	48	3	9	9	9	2	4	56	25	18	4	7	24	97	4	6	13	12	26	26	2	64	6	90	12	2	27	6	41	6	148	5	122	8	64	126	32	40	1	20	12	6	11	37	19	17	13	11	2	32	15	43	46	23	4	6	99	14	27	14	18	4	24	32	7	54	14	3	53	9	17	2	12	67	32	5	12	10	8	8	28	173	95	73	222	8	66	82	42	25	9	11	6	176	3	30	8	53	5	27	3	22	62	13	2	11	18	38	22	102	8	6	9	23	0	4	94	37	24	37	9	151	2	0	1	1	61	124	11	24	103	54	22	11	11	14	10	59	5	6	21	32	45	6	6	12	8	20	10	14	17	15	10	12	6	13	30	10	8	13	10	34	22	209	17	6	66	15	7	61	2	9	105	31	10	8	7	13	11	15	40	152	29	19	22	17	3	5	13	5	212	5	14	80	16	6	41	15	60	10	5	12	11	12	27	15	35	2	60	50	11	6	57	11	38	21	25	36	14	5	82	6	19	14	6	9	66	156	2	14	7	111	22	21	17	63	153	29	3	7	13	8	11	2	17	19	23	12	44
PaulStamatiou.com - Technology, Design and Photography	8	4	14	25	14	40	6	54	31	26	7	173	9	3	31	117	42	5	2	834	10	0	41	8	214	14	26	36	21	18	11	52	173	0	2	56	53	9	7	24	7	4	134	1	6	21	7	28	116	14	28	42	172	17	5	2	20	4	8	25	162	20	102	24	8	29	15	7	9	19	2	3	2	44	25	9	5	4	76	39	7	96	45	45	13	20	52	22	4	9	7	18	28	0	19	32	9	8	3	27	12	8	5	14	10	4	10	51	88	8	0	1	16	46	18	11	128	9	154	76	6	15	27	10	43	48	22	41	57	30	21	3	22	35	8	33	38	42	26	31	21	22	9	10	4	5	30	22	6	13	3	1	29	52	17	19	18	9	144	7	38	2	39	11	8	2	56	10	7	27	26	5	36	267	41	18	11	3	115	83	31	3	21	5	11	0	49	14	2	0	21	2	11	7	3	91	11	9	16	24	4	37	5	47	12	68	7	9	35	16	65	3	126	4	126	14	124	38	55	8	23	3	9	7	0	56	9	0	21	20	45	8	42	3	47	16	12	69	2	3	75	63	66	28	38	20	6	1	4	6	94	21	64	18	17	9	25	0	8	11	6	19	36	0	0	94	160	2	90	110	37	5	13	11	7	150	1	1	4	4	5	13	8	2	27	16	38	58	13	0	8	62	8	40	9	17	40	7	60	0	5	23	24	42	9	50	2	16	64	88	12	8	109	82	0	4	27	33	16	38	11	4	29	25	30	5	7	16	2	14	44	47	9	13	37	21	3	14	22	21	11	26	6	3	17	114	26	9	121	32	53	127	22	38	139	245	2	24	11	12	56	34	20	18	15	65	17	16	15	15	5	57	19	44	6	79	19	13	28	3	37	11	3	16	19	21	4	9	42	4	46	3	0	6	11	18	3	26	3	4	8	3	18	17	12	24	23	5	7	173	9	10	9	132	20	6	9	90	98	26	5	15	3	20	13	0	64	13	47	0	91
Slashdot	0	0	0	1	0	3	0	1	3	0	1	10	2	0	1	0	16	0	0	2	6	0	3	0	8	0	2	0	1	2	1	0	12	10	0	3	3	0	0	0	0	2	8	3	0	5	0	0	5	0	3	0	5	0	1	0	2	3	0	2	3	1	1	1	0	0	3	1	0	2	1	0	5	0	0	0	1	1	3	0	0	1	2	9	1	1	5	3	2	0	0	0	6	0	0	0	1	5	0	1	0	1	0	3	10	0	2	0	7	5	0	2	0	6	2	0	6	1	10	1	1	0	1	0	2	1	0	3	5	9	1	0	2	5	3	3	1	5	0	0	1	2	0	6	0	2	3	1	0	16	0	4	0	1	0	0	1	0	2	3	1	0	2	1	0	0	1	0	0	1	5	0	4	0	2	1	1	2	12	0	0	4	3	0	1	0	15	0	0	1	0	0	0	0	0	12	0	0	1	0	0	1	2	5	0	0	4	0	2	1	4	5	9	0	26	1	12	6	0	2	1	0	0	1	5	5	4	7	0	3	0	1	2	0	1	1	1	0	2	1	0	1	1	1	1	3	0	0	2	4	11	0	2	0	2	1	2	1	0	0	1	1	3	5	0	3	11	2	4	4	1	1	1	1	1	6	2	1	0	1	0	1	2	0	3	0	2	0	1	1	0	6	0	2	0	4	0	0	3	2	0	2	2	4	0	0	3	0	2	6	2	16	2	6	4	3	2	6	0	6	0	0	2	3	2	2	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	2	1	1	6	7	1	0	7	0	2	1	4	2	4	0	0	0	3	1	0	0	2	9	0	0	2	1	1	0	0	0	14	1	1	6	2	0	2	2	4	0	1	0	3	3	5	1	3	1	4	0	0	2	0	1	1	1	1	9	1	1	7	2	0	0	1	0	2	14	3	0	1	14	0	0	1	3	5	2	1	2	1	3	3	2	4	3	0	1	5
O'Reilly Radar	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	1	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	6	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0
blog maverick	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	11	0	0	0	0	3	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	2	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0	2	0	2	0	0	1	0	2	0	2	0	1	2	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	3	0	2	0	2	0	3	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	1	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	2	1	2	0	2	0	1	1	1	0	0	0	0	0	2	3	0	0	0	1	1	1	0	0	2	0	0	0	2	2	2	0	1	0	0	0	1	0	1	0	1	2	0	0	0	0	2	0	0	0	0	2	0	2	0	1	8	0	3	3	0	0	0	1	0	5	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	1	0	4	0	0	0	0	1	0	1	1	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	6	0	1	1	1	0	1	0	0	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	2	6	0	0	0	1	0	0	0	1	2	2	0	1	0	0	0	0	0	0	0	0	2
ThinkProgress - Medium	2	1	0	7	1	6	0	2	3	2	3	11	1	0	6	9	17	1	2	26	4	0	4	4	38	0	6	0	6	0	2	3	25	11	2	10	3	0	0	3	1	0	11	2	3	1	1	0	18	2	3	0	14	2	2	2	6	0	1	1	111	0	1	3	0	2	1	1	1	5	0	2	7	0	0	0	2	0	8	5	3	6	12	15	4	1	9	7	2	3	3	0	6	0	2	2	2	0	0	9	0	2	2	6	19	1	2	2	26	14	0	0	2	5	1	0	12	4	27	0	4	2	4	5	7	1	1	0	11	11	0	4	1	2	0	4	4	5	3	2	3	8	2	0	2	0	3	5	0	12	3	1	1	5	1	0	3	0	12	5	14	1	0	3	2	1	4	4	1	0	6	3	3	5	8	2	2	5	48	0	0	0	10	2	0	2	2	0	2	31	2	13	0	0	7	10	3	2	1	0	4	4	3	8	3	4	13	1	4	1	5	2	21	40	16	2	20	20	7	2	1	0	3	2	4	12	5	9	4	4	0	14	4	0	6	7	1	3	9	2	3	4	2	2	3	3	0	3	5	0	11	0	2	1	0	11	7	4	1	1	3	0	3	13	4	7	13	1	13	14	3	2	0	2	3	36	0	2	0	24	0	2	0	1	3	4	3	20	4	5	0	12	1	21	1	4	5	0	7	4	1	11	0	39	0	0	1	0	7	16	4	12	7	19	4	1	2	4	0	14	2	1	0	1	6	4	2	0	1	7	0	0	1	4	4	0	2	1	5	0	1	3	1	19	3	51	1	0	22	0	1	8	2	1	6	0	3	1	2	4	1	7	5	27	1	1	2	1	0	3	2	1	34	0	1	7	8	0	7	2	9	0	0	2	3	6	5	1	1	2	9	0	3	0	2	0	7	2	1	7	2	0	2	1	0	1	2	2	22	21	0	3	0	33	1	1	2	8	15	5	3	6	2	3	3	1	3	1	6	3	8
Deadspin	0	2	0	1	0	2	0	1	2	0	0	3	0	2	0	1	6	0	0	0	0	0	2	0	4	0	0	0	0	0	1	2	5	0	0	1	1	0	0	0	2	1	1	0	0	3	0	0	2	0	0	0	5	0	0	0	1	5	0	0	1	0	1	0	1	2	2	0	0	0	0	2	2	3	0	0	0	2	2	3	0	2	1	0	0	0	2	2	0	0	0	0	1	0	2	1	0	0	0	2	0	0	0	2	1	1	0	1	5	0	0	0	1	1	0	1	0	0	7	0	0	1	0	0	2	2	0	0	0	4	2	1	2	1	0	0	6	1	0	2	1	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	2	7	1	0	0	0	4	0	2	0	1	0	0	0	2	1	0	3	0	2	1	2	0	1	1	1	0	0	0	25	0	0	0	1	0	0	0	1	5	1	0	1	2	0	1	0	2	0	2	3	0	1	2	1	1	2	0	30	0	1	10	0	0	1	1	0	3	0	0	2	1	3	0	0	0	1	1	2	0	1	0	2	2	0	2	3	0	0	1	0	4	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	3	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	1	5	1	0	0	1	0	0	0	0	0	7	6	0	3	2	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	2	0	0	0	1	0	0	3	1	0	3	0	1	3	1	0	4	8	0	0	0	0	0	0	0	12	1	0	0	1	0	0	1	0	6	0	0	0	0	1	1	0	0	0	2	2	1	1	0	0	0	0	3	3	0	0	3	0	0	4	1	0	0	1	0	1	0	0	0	0	1	3	0	0	0	7	0	2	0	1	1	1	0	0	0	0	0	0	1	1	4	0	2
ShoeMoney	0	2	4	1	4	0	0	0	1	1	2	3	0	0	0	1	1	0	0	16	0	0	0	0	1	0	0	3	1	1	1	1	6	0	0	0	1	1	2	1	0	0	5	0	0	0	4	0	0	0	0	3	1	0	0	0	0	0	0	2	2	3	2	0	0	3	0	0	0	1	2	0	0	1	2	0	0	0	3	2	0	0	1	2	2	0	2	1	0	0	0	0	3	0	0	0	2	3	0	1	0	1	0	0	0	0	0	1	3	1	0	0	2	0	0	0	2	0	2	5	0	0	0	0	0	0	0	2	1	1	2	0	5	0	0	0	2	3	2	0	1	0	6	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	7	0	0	0	0	5	0	2	6	2	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	2	0	0	1	7	0	0	3	0	0	1	0	2	0	8	0	0	0	2	1	0	1	1	0	1	0	0	1	0	0	2	0	1	0	0	0	1	1	0	0	2	1	4	1	0	0	2	2	3	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	8	5	0	0	6	1	1	0	0	1	3	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	1	1	2	1	2	0	0	2	1	2	0	2	0	2	3	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	2	3	0	1	1	1	1	0	0	6	0	0	2	0	1	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0	1	0	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	5	0	1	0	2	2	0	3	1	8	4	0	2	1	1	0	0	2	1	0	0	7
The Dish	1	0	6	2	0	3	0	1	3	0	1	3	0	4	1	3	8	1	3	38	1	0	1	0	10	0	1	3	1	0	0	4	11	3	0	1	0	0	2	1	1	0	6	0	1	0	0	0	1	4	1	0	4	1	0	0	3	0	1	1	2	0	1	0	0	1	0	0	3	1	0	1	1	3	0	0	0	1	0	2	0	2	4	1	0	0	1	3	0	1	1	2	5	0	6	2	0	0	1	3	0	1	0	2	4	2	1	3	8	5	0	0	0	3	0	2	5	2	10	0	1	1	3	1	4	0	1	0	2	6	1	0	0	1	0	1	2	2	1	0	0	2	3	0	2	0	0	1	1	0	1	0	0	0	0	2	0	0	4	0	0	0	1	1	0	1	7	0	1	0	0	0	3	17	3	0	0	0	12	0	2	0	0	0	0	0	9	0	2	1	1	0	0	2	1	4	0	0	0	1	1	2	2	0	0	2	0	0	1	2	1	0	9	0	7	1	5	7	1	0	0	0	0	0	0	4	1	1	0	0	2	0	1	2	4	1	0	0	1	1	11	3	2	1	4	2	1	1	2	0	2	0	0	0	0	1	0	0	1	2	0	0	2	0	1	6	18	0	1	10	0	0	0	0	0	6	0	1	0	0	1	3	0	0	6	1	0	0	0	0	1	6	1	0	4	7	2	0	4	0	2	3	1	5	0	0	0	0	6	3	0	3	3	0	2	0	1	4	0	2	2	1	0	3	1	1	0	0	0	0	1	0	2	0	0	3	2	0	0	1	0	1	0	1	0	7	1	7	7	0	0	2	0	0	0	12	0	1	0	1	3	1	2	11	0	0	1	2	2	0	0	0	3	3	1	3	11	0	2	0	5	0	0	0	1	0	0	0	0	0	2	0	0	3	2	1	1	0	2	1	1	0	2	2	0	3	0	1	0	5	0	2	0	9	1	2	0	2	9	9	0	0	0	0	1	0	0	0	2	1	6
456 Berea Street	0	2	0	1	1	1	0	1	1	0	0	9	1	0	2	1	3	0	0	30	0	1	4	0	6	0	1	0	0	2	2	0	6	0	0	3	0	0	1	0	0	0	6	0	3	0	2	0	0	0	1	0	6	0	0	1	0	0	0	0	4	0	9	0	1	0	2	0	0	5	0	0	0	3	1	0	0	0	2	1	0	0	6	3	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	1	1	0	0	0	4	0	0	7	3	9	0	0	1	1	1	3	1	0	2	0	3	1	0	0	1	0	4	2	5	3	1	3	1	0	0	0	0	0	0	0	7	1	0	0	0	1	2	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	3	0	0	0	0	3	2	1	0	2	0	0	0	10	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0	0	0	2	0	1	0	2	0	2	0	5	3	0	0	4	0	0	0	0	0	1	0	1	3	2	0	1	0	4	1	2	0	0	3	2	1	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0	0	1	0	0	4	2	0	5	3	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	3	2	5	0	0	0	0	0	0	0	4	0	3	1	0	0	1	2	1	12	0	6	1	1	0	0	1	0	4	2	0	1	2	1	1	0	2	0	0	0	2	0	0	0	0	0	2	0	1	0	2	0	0	0	6	0	0	2	1	1	2	0	0	3	1	0	0	0	2	0	3	1	0	1	0	1	1	1	0	1	3	0	0	0	5	1	0	0	0	1	0	0	0	0	1	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	8	0	0	0	4	0	1	1	1	2	0	0	0	1	0	0	1	3	1	0	0	0
